Latency	Type	Duration
0	anger	0,5
1000	joy	0,5
2000	neutral	0,5
3000	joy	0,5
4000	neutral	0,5
5000	joy	0,5
6000	anger	0,5
7000	neutral	0,5
8000	anger	0,5
9000	joy	0,5
10000	joy	0,5
11000	neutral	0,5
12000	joy	0,5
13000	neutral	0,5
14000	anger	0,5
15000	joy	0,5
16000	anger	0,5
17000	joy	0,5
18000	joy	0,5
19000	joy	0,5
20000	neutral	0,5
21000	neutral	0,5
22000	neutral	0,5
23000	joy	0,5
24000	anger	0,5
25000	neutral	0,5
26000	neutral	0,5
27000	neutral	0,5
28000	neutral	0,5
29000	anger	0,5
30000	joy	0,5
31000	joy	0,5
32000	neutral	0,5
33000	anger	0,5
34000	anger	0,5
35000	neutral	0,5
36000	neutral	0,5
37000	anger	0,5
38000	neutral	0,5
39000	joy	0,5
40000	neutral	0,5
41000	neutral	0,5
42000	joy	0,5
43000	anger	0,5
44000	anger	0,5
45000	joy	0,5
46000	anger	0,5
47000	joy	0,5
48000	anger	0,5
49000	joy	0,5
50000	neutral	0,5
51000	anger	0,5
52000	anger	0,5
53000	neutral	0,5
54000	anger	0,5
55000	anger	0,5
56000	joy	0,5
57000	neutral	0,5
58000	joy	0,5
59000	neutral	0,5
60000	anger	0,5
61000	anger	0,5
62000	neutral	0,5
63000	joy	0,5
64000	joy	0,5
65000	joy	0,5
66000	anger	0,5
67000	anger	0,5
68000	anger	0,5
69000	joy	0,5
70000	neutral	0,5
71000	anger	0,5
72000	neutral	0,5
73000	neutral	0,5
74000	neutral	0,5
75000	anger	0,5
76000	joy	0,5
77000	neutral	0,5
78000	anger	0,5
79000	neutral	0,5
80000	anger	0,5
81000	anger	0,5
82000	joy	0,5
83000	anger	0,5
84000	anger	0,5
85000	neutral	0,5
86000	anger	0,5
87000	joy	0,5
88000	joy	0,5
89000	neutral	0,5
90000	joy	0,5
91000	neutral	0,5
92000	joy	0,5
93000	anger	0,5
94000	joy	0,5
95000	joy	0,5
